Variable,N,Mean,SD,Median,Min,Max,Pct_ceiling
Participation level (0–2),188,0.388,0.734,0.0,0.0,2.0,14.9
Info Provision score (0–1),188,0.051,0.141,0.0,0.0,0.833,1.1
Consultation score (0–1),188,0.028,0.085,0.0,0.0,0.75,0.5
Q24 Signage (0–2),185,0.773,0.802,1.0,0.0,2.0,23.2
Q25 Terminology clarity (1–5),145,3.703,0.818,4.0,1.0,5.0,15.9
PL composite (IAP2-weighted),188,0.308,0.237,0.325,0.0,0.975,0.5
MGT satisfaction composite,179,4.254,0.673,4.0,1.0,5.0,35.8
Q26 Maintenance rating (1–5),131,4.229,0.651,4.0,1.0,5.0,32.8
Q27 Future benefits (0/1),187,0.957,0.203,1.0,0.0,1.0,95.7
OVERALL composite,181,4.304,0.611,4.275,1.0,5.0,22.7
EMQ (environmental quality),112,4.36,0.616,4.5,1.0,5.0,29.5
EHB (hydro benefits),108,4.221,0.6,4.0,1.6,5.0,24.1
ECO (ecological),95,4.484,0.823,5.0,1.0,5.0,62.1
