Test,Statistic,Detail
Sample size (full cleaned),n=157,
Sample size (with satisfaction),n=115,
Sample size (complete cases),n=78,
Q25 Shapiro-Wilk,W=0.8350,p=0.0000
Kruskal-Wallis,H=14.917,"p=0.0006, e2=0.172"
Jonckheere-Terpstra,"J=633.5, Z=-3.478",p=0.9997
Ceiling Q25 (at 5),9.6%,4+5: 59.1%
Floor Q24 (at 0),48.0%,0+1: 74.0%
OLS beta (Q24->Q25),0.401,
Tobit beta (Q24->Q25),0.441,
PLS path beta (PART->SAT),0.299,"R2=0.089, Q2=0.007"
Expectation Gap Verdict,DISCONFIRMED: Higher participation not associated with lower,
XGBoost CV R2,0.073,RMSE=0.730
